employee_name,employee_id,level,occupation,week_ending,mon_st_hours,tue_st_hours,wed_st_hours,thu_st_hours,fri_st_hours,sat_st_hours,sun_st_hours,mon_ot_hours,tue_ot_hours,wed_ot_hours,thu_ot_hours,fri_ot_hours,sat_ot_hours,sun_ot_hours,standard_rate,overtime_rate,benefits_rate
Edmond Schiller,1000,APPRENTICE,Plumber,03/01/2025,8,7.6,6.7,6.5,8,0,0,0,0,0,2.5,0,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,03/01/2025,6.6,7.7,8,7.1,7.9,5.5,3.5,0,0,0,0,0,0,3,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,03/01/2025,7.9,0,7.1,7.2,7.8,0,0,1.4,0,2.5,2.3,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,03/01/2025,7.9,8,8,7.5,7.2,0,0,0,0,0,0,0,0,0,26.23,39.35,11.8
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,03/01/2025,6.7,7.4,7.1,6.8,6.6,3.4,0,0,0,0,1.1,0,0,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,03/01/2025,6.8,6.6,7.2,6.8,8,0,0,0,0,3,1.7,0.7,0,0,51.75,77.63,23.29
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,03/01/2025,7.3,12,6.6,7.8,7.7,0,5,0,7.9,3,0,0,0,2,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,03/01/2025,0,7.1,8,8,7.1,0,0,0,2.7,0,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,03/01/2025,7.9,7.8,7.4,7.2,8,0,0,0,0,0,2.9,0,0,0,54.21,81.32,24.39
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,03/01/2025,8,6.5,0,8,8,0,0,0,0,0,0,0.9,0,0,90.19,135.3,39.68
